                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0938,                 2.2972,                 1.8502,                 1.4131,                0.35198,                0.47796,                0.33942,                0.17625,                0.33233,                 0.4349,                 0.3024,                0.12896,                 1.5152,                 5.4047,                 6.4068,                 2.2526,             0.00055186,             0.00055186,             0.00055186
                      2,                 1.3329,                 2.7426,                 1.8697,                 1.5775,                0.05219,                0.53937,                0.03925,                0.01902,                0.04234,                0.32643,                0.02413,                 0.0085,                 1.6308,                 4.7855,                 17.071,                 2.0332,              0.0010854,              0.0010854,              0.0010854
                      3,                 1.2609,                 2.6901,                 1.7298,                 1.5207,                0.55078,                 0.4343,                0.44295,                0.24476,                0.55281,                0.38855,                0.39043,                0.19595,                 1.4803,                 3.5673,                 2.5221,                 1.8463,              0.0015967,              0.0015967,              0.0015967
                      4,                 1.1958,                 2.5326,                 1.6486,                 1.4809,                0.41947,                0.47382,                0.40644,                0.25165,                0.43655,                0.43714,                0.40058,                0.22312,                 1.4079,                 2.9977,                 2.4645,                 1.7139,               0.001567,               0.001567,               0.001567
                      5,                 1.1352,                 2.4148,                 1.5555,                 1.4404,                0.52068,                0.41123,                0.43012,                0.27323,                0.50476,                0.39495,                0.40802,                0.21864,                 1.2687,                 2.8345,                 2.1243,                 1.5842,               0.001567,               0.001567,               0.001567
                      6,                 1.0738,                 2.3223,                 1.4768,                  1.401,                0.68177,                0.54593,                 0.5886,                0.38914,                0.68298,                0.54151,                0.57005,                0.33092,                 1.1682,                  2.516,                 1.6382,                 1.4751,              0.0015337,              0.0015337,              0.0015337
                      7,                0.99559,                 2.1586,                 1.3602,                 1.3469,                0.61188,                0.55337,                 0.5759,                0.38239,                0.58577,                0.51943,                0.53202,                0.30416,                 1.1326,                 2.4383,                 1.6435,                  1.423,              0.0015003,              0.0015003,              0.0015003
                      8,                0.94857,                 2.0569,                 1.3055,                 1.3084,                0.67968,                0.56179,                0.61729,                0.41503,                0.66134,                0.54454,                0.59475,                0.36732,                 1.1304,                 2.3422,                  1.569,                 1.4318,               0.001467,               0.001467,               0.001467
                      9,                0.94642,                 2.0513,                 1.2671,                 1.3055,                0.63132,                0.47891,                0.53561,                0.35487,                0.61693,                0.46085,                0.51178,                0.32028,                 1.1186,                 2.2336,                   1.81,                 1.4419,              0.0014336,              0.0014336,              0.0014336
                     10,                0.92366,                 1.9777,                 1.2105,                 1.2951,                0.65581,                0.52804,                0.57155,                0.37271,                0.63781,                0.51504,                0.54734,                0.30854,                 1.1278,                 2.4697,                 1.5528,                  1.449,              0.0014003,              0.0014003,              0.0014003
