                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.85182,                 1.6444,                 1.1831,                0.62006,                0.62052,                0.64833,                0.52939,                0.63775,                  1.193,                 1.0599,               0.070205,              0.0033105,              0.0033105
                      1,                0.78076,                 1.1224,                 1.1408,                0.73749,                0.59029,                 0.6843,                0.52861,                0.75604,                 1.1611,                 1.1376,               0.039942,              0.0063807,              0.0063807
                      2,                0.87087,                 1.1467,                 1.1847,                0.56359,                0.59402,                0.58012,                0.40281,                 1.0129,                 1.4427,                  1.327,              0.0094153,               0.009187,               0.009187
                      3,                0.97863,                 1.2186,                 1.2632,                0.60995,                0.51139,                0.51859,                0.33706,                 1.1139,                 1.7405,                 1.4471,               0.008812,               0.008812,               0.008812
                      4,                 1.0198,                 1.2664,                 1.2883,                  0.663,                0.54573,                0.61178,                0.44231,                0.99087,                 1.3233,                 1.3352,               0.008812,               0.008812,               0.008812
                      5,                  1.016,                 1.2017,                 1.2856,                0.64407,                 0.6241,                0.63893,                0.45838,                0.97274,                 1.2664,                 1.2782,               0.008416,               0.008416,               0.008416
                      6,                 1.0099,                 1.1914,                   1.28,                0.73698,                0.60789,                0.65555,                0.45351,                 0.9641,                 1.3441,                 1.3075,                0.00802,                0.00802,                0.00802
                      7,                 0.9668,                 1.1332,                 1.2672,                0.71452,                0.59109,                0.64968,                0.46627,                0.96205,                 1.2463,                 1.3302,               0.007624,               0.007624,               0.007624
                      8,                0.94104,                 1.0873,                 1.2497,                 0.6639,                0.60908,                0.63921,                0.46295,                0.95539,                 1.2804,                 1.3129,               0.007228,               0.007228,               0.007228
                      9,                0.90818,                 1.0429,                 1.2254,                0.67175,                0.61831,                0.63557,                0.45949,                0.92143,                 1.2606,                 1.2629,               0.006832,               0.006832,               0.006832
                     10,                0.88711,                0.98766,                  1.212,                 0.7103,                0.64341,                 0.6848,                 0.4924,                0.88693,                 1.1663,                 1.2685,               0.006436,               0.006436,               0.006436
                     11,                0.87545,                0.95385,                 1.2059,                0.78252,                0.60746,                0.67685,                0.50394,                0.85857,                 1.1492,                 1.2366,                0.00604,                0.00604,                0.00604
                     12,                0.84402,                0.92393,                 1.1771,                0.74672,                0.67076,                0.71149,                0.53103,                0.84302,                 1.0871,                 1.2202,               0.005644,               0.005644,               0.005644
                     13,                0.82839,                0.90293,                 1.1687,                0.77441,                0.64976,                0.72605,                0.56302,                0.81327,                 1.0256,                 1.1973,               0.005248,               0.005248,               0.005248
                     14,                 0.7951,                0.85898,                 1.1397,                0.78423,                0.67206,                 0.7463,                0.57058,                 0.8036,                 1.0078,                 1.1882,               0.004852,               0.004852,               0.004852
                     15,                0.71688,                0.76486,                 1.1634,                0.78216,                0.64159,                0.71713,                0.54163,                0.83037,                 1.0392,                 1.2123,               0.004456,               0.004456,               0.004456
                     16,                0.69674,                0.74531,                 1.1436,                0.77096,                 0.6225,                0.70646,                0.54589,                0.82119,                 1.0627,                 1.2182,                0.00406,                0.00406,                0.00406
                     17,                0.67823,                0.67323,                 1.1173,                0.77439,                0.68226,                0.74865,                0.56648,                0.81906,                0.97432,                 1.2205,               0.003664,               0.003664,               0.003664
                     18,                0.64468,                0.63592,                 1.1079,                0.81351,                0.61532,                0.72015,                 0.5378,                0.85307,                 1.1025,                 1.2429,               0.003268,               0.003268,               0.003268
                     19,                0.61373,                0.59911,                 1.0768,                0.79274,                0.64936,                0.73371,                0.57057,                0.79856,                 1.0294,                 1.1946,               0.002872,               0.002872,               0.002872
                     20,                0.58982,                0.54755,                 1.0611,                0.75874,                0.69217,                0.74809,                0.58613,                 0.7781,                 1.0038,                 1.1843,               0.002476,               0.002476,               0.002476
                     21,                0.55301,                0.47752,                  1.026,                0.76801,                0.69213,                0.75065,                0.59277,                0.81824,                0.96772,                 1.2359,                0.00208,                0.00208,                0.00208
                     22,                0.54016,                0.47192,                 1.0334,                0.79053,                0.67889,                0.74899,                0.60321,                0.75262,                 1.0058,                 1.1788,               0.001684,               0.001684,               0.001684
                     23,                0.50369,                0.42991,                  1.001,                0.84255,                0.66796,                0.75608,                 0.6057,                0.74575,                0.96175,                 1.1866,               0.001288,               0.001288,               0.001288
                     24,                0.47748,                0.37983,                0.98043,                0.81628,                0.69067,                 0.7572,                0.61289,                0.74736,                0.98928,                 1.1927,               0.000892,               0.000892,               0.000892
